t = 0, dt = 0.01, tmax = 1, Ca = 10, Cb = 0, Cc = 10 , alpha = 10, beta = 10, gama = 10
Passo t = 0,7600: Ca = 1,664658, Cb = 8,335342, Cc = 0,458918
Passo t = 0,7700: Ca = 1,671607, Cb = 8,328393, Cc = 0,456712
Passo t = 0,7800: Ca = 1,678538, Cb = 8,321462, Cc = 0,454530
Passo t = 0,7900: Ca = 1,685448, Cb = 8,314552, Cc = 0,452371
Passo t = 0,8000: Ca = 1,692340, Cb = 8,307660, Cc = 0,450237
Passo t = 0,8100: Ca = 1,699212, Cb = 8,300788, Cc = 0,448125
Passo t = 0,8200: Ca = 1,706064, Cb = 8,293936, Cc = 0,446036
Passo t = 0,8300: Ca = 1,712898, Cb = 8,287102, Cc = 0,443970
Passo t = 0,8400: Ca = 1,719712, Cb = 8,280288, Cc = 0,441925
Passo t = 0,8500: Ca = 1,726507, Cb = 8,273493, Cc = 0,439902
Passo t = 0,8600: Ca = 1,733284, Cb = 8,266716, Cc = 0,437901
Passo t = 0,8700: Ca = 1,740041, Cb = 8,259959, Cc = 0,435920
Passo t = 0,8800: Ca = 1,746780, Cb = 8,253220, Cc = 0,433960
Passo t = 0,8900: Ca = 1,753500, Cb = 8,246500, Cc = 0,432020
Passo t = 0,9000: Ca = 1,760201, Cb = 8,239799, Cc = 0,430100
Passo t = 0,9100: Ca = 1,766884, Cb = 8,233116, Cc = 0,428200
Passo t = 0,9200: Ca = 1,773548, Cb = 8,226452, Cc = 0,426319
Passo t = 0,9300: Ca = 1,780194, Cb = 8,219806, Cc = 0,424457
Passo t = 0,9400: Ca = 1,786822, Cb = 8,213178, Cc = 0,422614
Passo t = 0,9500: Ca = 1,793431, Cb = 8,206569, Cc = 0,420790
Passo t = 0,9600: Ca = 1,800022, Cb = 8,199978, Cc = 0,418983
Passo t = 0,9700: Ca = 1,806595, Cb = 8,193405, Cc = 0,417195
Passo t = 0,9800: Ca = 1,813150, Cb = 8,186850, Cc = 0,415424
Passo t = 0,9900: Ca = 1,819688, Cb = 8,180312, Cc = 0,413670
